date,verse_title,cosine_score,phrase_woodruff,phrase_scripture,volume_title
"February 26, 1879 ",Doctrine and Covenants 1:38,0.98193,and I excuse not myself And though the Heavens and,I excuse not myself; and though the heavens and the,Doctrine and Covenants
"August 27, 1885 ",Doctrine and Covenants 1:38,0.91283,"Earth Pass away my words shall not pass away, but","earth pass away, my word shall not pass away, but",Doctrine and Covenants
"February 26, 1879 ",Doctrine and Covenants 1:38,0.86034,[Earth] pass away my words will not pass away but,"earth pass away, my word shall not pass away, but",Doctrine and Covenants
"February 26, 1879 ",Doctrine and Covenants 1:13,0.83219,or the world for his anger is kindled and the,"And the anger of the Lord is kindled, and his",Doctrine and Covenants
"January 13, 1856 ",Doctrine and Covenants 2:2,0.83046,shall turn the Hearts of the Fathers to the children,"the promises made to the fathers, and the hearts of the children shall turn to their fathers.",Doctrine and Covenants
"July 6, 1877 ",Doctrine and Covenants 1:30,0.77902,of times to lay the foundation of this Church and,"have power to lay the foundation of this church, and",Doctrine and Covenants
"February 26, 1879 ",Doctrine and Covenants 1:38,0.76513,assuredly will. 13 What I have spoken I have spoken,"What I the Lord have spoken, I have spoken, and",Doctrine and Covenants
"April 6, 1853 ",Doctrine and Covenants 6:20,0.76385,to encircle you in the arms of his love &amp;,"of God, and I will encircle thee in the arms of my love.",Doctrine and Covenants
"March 10, 1844 ",Doctrine and Covenants 2:2,0.7605,&amp; He shall turn the hearts of the Fathers to,"the promises made to the fathers, and the hearts of the children shall turn to their fathers.",Doctrine and Covenants
"April 6, 1837 ",Doctrine and Covenants 1:16,0.742,[[image of God|image of GOD]] He unbosom'd his mind &amp;,"image of his own god, whose image is in the",Doctrine and Covenants
"September 10, 1843 ",Doctrine and Covenants 1:38,0.74173,earth should pass away his words should not pass away,"earth pass away, my word shall not pass away, but",Doctrine and Covenants
"January 22, 1843 ",Doctrine and Covenants 1:38,0.7383,away my words shall not pass away If a man,"earth pass away, my word shall not pass away, but",Doctrine and Covenants
"October 6, 1851 ",Doctrine and Covenants 9:8,0.73595,it right to stay. If I thought it right to,"if it be right, and if it is right I",Doctrine and Covenants
"August 27, 1844 ",Doctrine and Covenants 6:8,0.73165,the means of doing much good for you shall have,"you desire, you shall be the means of doing much good in this generation.",Doctrine and Covenants
"February 19, 1842 ",Doctrine and Covenants 10:1,0.72592,God; to translate through the Urim &amp; Thummim Ancient records,"to translate by the means of the Urim and Thummim,",Doctrine and Covenants
"August 28, 1846 ",Doctrine and Covenants 6:14,0.71514,Son thou hast spoken well I have all thou hast,"what thou hast done; for thou hast inquired of me,",Doctrine and Covenants
"January 1, 1877 ",Doctrine and Covenants 7:2,0.71456,thee that they may bring many souls unto Christ and,"over death, that I may live and bring souls unto thee.",Doctrine and Covenants
"September 21, 1840 ",Doctrine and Covenants 6:20,0.70238,and diligent in keeping all of the commandments of God,thy heart. Be faithful and diligent in keeping the commandments,Doctrine and Covenants
